# ============================================================================
# BC BIOME WATERS - REGISTERED BIOME WATER COLORS
# ============================================================================
# This is the authoritative list of water colors registered by BIOME WATERS.
# Format: source_id | hex_color | category
#
# Category:
#   biome - Color from biome water tint
#
#
# Generated: 2025-12-22
# Total Entries: 468
# Unique Colors: 37+
# Total Registrations: 248 (37 unique × 4 types: still, flowing, bucket, cauldron)
# ============================================================================

# ============================================================================
# BIOME WATER COLORS (468 entries)
# ============================================================================

alexscaves:abyssal_chasm | 0x00154B | biome
alexscaves:primordial_caves | 0x05A599 | biome
minecraft:meadow | 0x0E4ECF | biome
regions_unexplored:alpha_grove | 0x1C58DD | biome
biomesoplenty:origin_valley | 0x2032FF | biome
biomesoplenty:wetland | 0x272179 | biome
regions_unexplored:blackwood_taiga | 0x2F6DA2 | biome
biomesoplenty:ominous_woods | 0x312346 | biome
yungscavebiomes:lost_caves | 0x332C0A | biome
regions_unexplored:ancient_delta | 0x33FFFF | biome
regions_unexplored:infernal_holt | 0x35180D | biome
regions_unexplored:rocky_reef | 0x35BCD6 | biome
biomesoplenty:auroral_garden | 0x3938C9 | biome
regions_unexplored:hyacinth_deeps | 0x3986C9 | biome
minecraft:mangrove_swamp | 0x3A7A6A | biome
minecraft:cold_ocean | 0x3D57D6 | biome
regions_unexplored:muddy_river | 0x3F6FB4 | biome
minecraft:warm_ocean | 0x43D5EE | biome
abyssal_descent:lunar_forest | 0x3F76E4 | biome
abyssal_descent:abyss_cliffs | 0x3F76E4 | biome
abyssal_descent:abyssal_plains | 0x3F76E4 | biome
abyssal_descent:core_depths | 0x3F76E4 | biome
abyssal_descent:deeplight | 0x3F76E4 | biome
aether:skyroot_forest | 0x3F76E4 | biome
aether:skyroot_grove | 0x3F76E4 | biome
aether:skyroot_meadow | 0x3F76E4 | biome
aether:skyroot_woodland | 0x3F76E4 | biome
alexscaves:candy_cavity | 0xFA49F8 | biome
alexscaves:forlorn_hollows | 0x5D6A84 | biome
alexscaves:magnetic_caves | 0x606FC1 | biome
alexscaves:toxic_caves | 0x4B7272 | biome
aquaticcraft:aq_abyssal_depths | 0x191032 | biome
aquaticcraft:aq_algid_brine | 0x006AFF | biome
